Date,Open,Close,High,Low,Volume,Adj Close
2019-01-02,6349.5,6371.0,6409.25,6154.0,659316,6371.0
2019-01-03,6242.75,6162.0,6304.25,6148.5,714536,6162.0
2019-01-04,6168.75,6434.0,6462.0,6136.5,696539,6434.0
2019-01-07,6451.25,6496.5,6535.75,6402.5,516597,6496.5
2019-01-08,6506.0,6557.25,6586.25,6467.25,539049,6557.25
2019-01-09,6546.75,6604.75,6645.0,6546.75,496789,6604.75
2019-01-10,6597.25,6625.25,6641.75,6527.5,496364,6625.25
2019-01-11,6622.5,6612.75,6632.5,6572.0,364787,6612.75
2019-01-14,6599.0,6545.0,6602.5,6521.5,364990,6545.0
2019-01-15,6543.0,6676.75,6689.0,6542.25,492324,6676.75
2019-01-16,6674.5,6666.25,6737.25,6664.0,443742,6666.25
2019-01-17,6670.0,6720.0,6760.0,6612.25,472761,6720.0
2019-01-18,6722.75,6792.75,6828.25,6712.0,499881,6792.75
2019-01-22,6794.5,6653.0,6794.5,6611.5,651258,6653.0
2019-01-23,6652.0,6665.25,6724.25,6592.25,515044,6665.25
2019-01-24,6663.0,6675.0,6718.5,6653.0,449017,6675.0
2019-01-25,6684.5,6791.25,6810.5,6676.75,446822,6791.25
2019-01-28,6784.25,6701.75,6791.0,6648.25,490045,6701.75
2019-01-29,6695.25,6638.75,6721.0,6616.75,441622,6638.75
2019-01-30,6690.25,6837.25,6845.25,6657.75,526133,6837.25
2019-01-31,6844.25,6914.75,6943.0,6839.25,557023,6914.75
2019-02-01,6911.0,6877.75,6927.5,6860.5,461403,6877.75
2019-02-04,6863.75,6937.5,6983.0,6858.25,353660,6937.5
2019-02-05,6937.5,7008.0,7033.75,6928.25,369764,7008.0
2019-02-06,7009.25,6995.75,7038.75,6972.25,376560,6995.75
2019-02-07,6988.0,6905.5,6994.75,6856.25,595400,6905.5
2019-02-08,6902.0,6916.75,6926.25,6841.0,464342,6916.75
2019-02-11,6921.75,6914.25,6969.5,6896.25,384589,6914.25
2019-02-12,6908.5,7018.5,7028.5,6903.0,363950,7018.5
2019-02-13,7017.25,7016.25,7069.75,7012.0,359971,7016.25
2019-02-14,7017.25,7019.75,7057.5,6972.0,490159,7019.75
2019-02-15,7017.5,7063.75,7095.25,6975.25,430944,7063.75
2019-02-19,7063.75,7068.25,7094.75,7035.25,386613,7068.25
2019-02-20,7068.75,7073.25,7105.0,7032.25,418267,7073.25
2019-02-21,7070.75,7034.5,7113.75,7005.0,432866,7034.5
2019-02-22,7031.25,7088.25,7101.25,7019.25,367501,7088.25
2019-02-25,7108.5,7125.75,7168.5,7102.0,346624,7125.75
2019-02-26,7122.0,7117.75,7151.0,7073.25,362741,7117.75
2019-02-27,7109.25,7121.75,7131.75,7048.0,367938,7121.75
2019-02-28,7121.25,7102.5,7130.75,7072.5,360883,7102.5
2019-03-01,7106.5,7156.0,7164.5,7098.25,383198,7156.0
2019-03-04,7177.0,7145.75,7211.5,7074.5,556660,7145.75
2019-03-05,7144.5,7165.5,7182.0,7124.25,364928,7165.5
2019-03-06,7156.0,7111.25,7171.25,7107.0,444302,7111.25
2019-03-07,7109.0,7027.5,7123.25,7003.25,556540,7027.5
2019-03-08,7025.5,7026.75,7034.0,6939.0,312130,7026.75
2019-03-11,7022.25,7164.75,7176.75,6997.5,203726,7164.75
2019-03-12,7176.0,7206.5,7223.0,7163.25,167990,7206.5
2019-03-13,7209.25,7267.75,7295.5,7183.75,127111,7267.75
2019-03-14,7273.25,7239.75,7293.5,7237.75,82276,7239.75
2019-03-15,7245.75,7270.35009765625,7288.0,7243.0,412124,7270.35009765625
2019-03-18,7338.0,7360.75,7379.5,7321.75,366874,7360.75
2019-03-19,7362.25,7376.5,7421.25,7351.25,427134,7376.5
2019-03-20,7378.0,7409.5,7458.0,7349.5,550615,7409.5
2019-03-21,7400.5,7534.5,7541.0,7367.75,523249,7534.5
2019-03-22,7526.75,7368.75,7544.75,7353.0,694561,7368.75
2019-03-25,7372.25,7355.25,7390.5,7290.0,596897,7355.25
2019-03-26,7363.0,7376.75,7447.5,7340.5,557412,7376.75
2019-03-27,7383.5,7334.5,7404.75,7276.0,592979,7334.5
2019-03-28,7323.5,7352.0,7372.5,7289.5,446378,7352.0
2019-03-29,7350.25,7400.5,7414.5,7350.25,395579,7400.5
2019-04-01,7430.0,7498.5,7506.5,7428.5,412914,7498.5
2019-04-02,7495.25,7519.25,7532.5,7483.75,359192,7519.25
2019-04-03,7517.0,7582.25,7616.25,7513.25,483546,7582.25
2019-04-04,7581.25,7561.5,7598.0,7522.0,432440,7561.5
2019-04-05,7565.0,7604.25,7612.75,7556.0,358710,7604.25
2019-04-08,7607.75,7623.5,7629.25,7561.25,333328,7623.5
2019-04-09,7625.75,7593.25,7633.75,7578.75,389517,7593.25
2019-04-10,7590.5,7641.25,7646.0,7575.75,332696,7641.25
2019-04-11,7644.0,7617.25,7661.0,7601.5,340950,7617.25
2019-04-12,7617.0,7652.25,7665.0,7611.0,346210,7652.25
2019-04-15,7654.0,7647.75,7659.0,7598.75,322483,7647.75
2019-04-16,7650.75,7679.5,7695.0,7648.75,373199,7679.5
2019-04-17,7676.5,7689.75,7733.5,7668.5,463944,7689.75
2019-04-18,7691.5,7712.5,7723.0,7660.25,393586,7712.5
2019-04-22,7715.25,7734.75,7746.75,7669.75,253668,7734.75
2019-04-23,7738.0,7838.0,7843.75,7724.5,427149,7838.0
2019-04-24,7833.5,7847.75,7852.75,7802.25,387633,7847.75
2019-04-25,7855.25,7798.5,7879.5,7792.0,488329,7798.5
2019-04-26,7799.25,7840.25,7845.5,7755.5,467051,7840.25
2019-04-29,7837.25,7813.75,7867.75,7805.5,320324,7813.75
2019-04-30,7805.25,7800.0,7857.0,7740.0,463833,7800.0
2019-05-01,7848.75,7756.5,7867.25,7736.0,484406,7756.5
2019-05-02,7737.75,7734.25,7805.0,7682.25,592822,7734.25
2019-05-03,7739.0,7865.0,7872.5,7734.75,454088,7865.0
2019-05-06,7810.0,7803.5,7817.5,7667.5,630196,7803.5
2019-05-07,7744.75,7674.0,7804.0,7581.25,838952,7674.0
2019-05-08,7663.75,7647.5,7698.0,7600.0,621509,7647.5
2019-05-09,7639.75,7595.25,7644.5,7481.0,741216,7595.25
2019-05-10,7591.0,7610.25,7654.5,7435.75,802652,7610.25
2019-05-13,7534.25,7314.75,7551.5,7305.0,773473,7314.75
2019-05-14,7315.25,7421.0,7459.5,7290.0,547769,7421.0
2019-05-15,7429.25,7529.25,7538.5,7353.75,535915,7529.25
2019-05-16,7524.25,7600.25,7641.0,7473.5,525588,7600.25
2019-05-17,7600.75,7511.5,7620.0,7506.5,626777,7511.5
2019-05-20,7514.75,7391.75,7559.25,7361.5,634294,7391.75
2019-05-21,7408.25,7464.0,7485.25,7400.75,436744,7464.0
2019-05-22,7462.75,7430.0,7475.0,7391.25,455678,7430.0
2019-05-23,7430.75,7311.0,7434.75,7268.0,640165,7311.0
